section,symbol_type,symbol,size_bytes,vma,runtime_region,lma,load_region
.highcode,FUNC,SYS_GetClockValue,28,0x20000090,?,0x00000094,?
.highcode,FUNC,SYS_SetPendingIRQ,14,0x200000AC,?,0x000000B0,?
.data,OBJECT,curbrk.0,4,0x20001180,?,0x0001659C,?
.bss,OBJECT,g_dataTxTask,20,0x20001460,?,-,-
.data,OBJECT,holdrand.0,4,0x20001190,?,0x000165AC,?
.highcode,FUNC,clockGetHSEValue,48,0x20000750,?,0x00000754,?
.text,FUNC,clockGetTickValve,128,0x00003074,?,0x00003074,?
.data,OBJECT,CSWTCH.143,7,0x20001228,?,0x00016644,?
.bss,OBJECT,gPaControl,4,0x2000134C,?,-,-
.bss,OBJECT,rfStatusCBs,4,0x20001344,?,-,-
.bss,OBJECT,gRfTaskId,1,0x20001348,?,-,-
.text,FUNC,simpleProfile_ReadAttrCB,114,0x00001014,?,0x00001014,?
.text,FUNC,simpleProfile_WriteAttrCB,194,0x00001086,?,0x00001086,?
.bss,OBJECT,simpleProfile_AppCBs,4,0x20001250,?,-,-
.text,FUNC,simpleProfile_HandleConnStatusCB,62,0x00001148,?,0x00001148,?
.bss,OBJECT,simpleProfileChar4Config,4,0x20001240,?,-,-
.data,OBJECT,simpleProfileAttrTbl,272,0x20000F3C,?,0x00016358,?
.bss,OBJECT,simpleProfileChar1,1,0x2000124C,?,-,-
.bss,OBJECT,simpleProfileChar2,1,0x20001248,?,-,-
.bss,OBJECT,simpleProfileChar3,1,0x20001244,?,-,-
.bss,OBJECT,simpleProfileChar4,16,0x200013E8,?,-,-
.bss,OBJECT,simpleProfileChar5,5,0x20001238,?,-,-
.data,OBJECT,simpleProfileService,8,0x200011D8,?,0x000165F4,?
.data,OBJECT,simpleProfileChar1Props,1,0x2000117C,?,0x00016598,?
.data,OBJECT,simpleProfileChar1UserDesp,18,0x20001098,?,0x000164B4,?
.data,OBJECT,simpleProfileChar2Props,1,0x2000117B,?,0x00016597,?
.data,OBJECT,simpleProfileChar2UserDesp,18,0x20001084,?,0x000164A0,?
.data,OBJECT,simpleProfileChar3Props,1,0x2000117A,?,0x00016596,?
.data,OBJECT,simpleProfileChar3UserDesp,18,0x20001070,?,0x0001648C,?
.data,OBJECT,simpleProfileChar4Props,1,0x20001179,?,0x00016595,?
.data,OBJECT,simpleProfileChar4UserDesp,13,0x20001060,?,0x0001647C,?
.data,OBJECT,simpleProfileChar5Props,1,0x20001178,?,0x00016594,?
.data,OBJECT,simpleProfileChar5UserDesp,18,0x2000104C,?,0x00016468,?
.text,FUNC,CH572_SCL_Change,32,0x00001C02,?,0x00001C02,?
.text,FUNC,CH572_SDA_Change,32,0x00001C22,?,0x00001C22,?
.text,FUNC,CH572_SDA_Read,14,0x00001C42,?,0x00001C42,?
.text,FUNC,CH572_I2C_Delay,18,0x00001C50,?,0x00001C50,?
.text,FUNC,MPU6050_OnBusy,2,0x00001C62,?,0x00001C62,?
.text,FUNC,I2C_Process.constprop.0,444,0x00001C64,?,0x00001C64,?
.bss,OBJECT,g_i2cOP,12,0x20001438,?,-,-
.text,FUNC,MPU6050_I2C_Write,40,0x00001E20,?,0x00001E20,?
.text,FUNC,MPU6050_I2C_Read,44,0x00001E48,?,0x00001E48,?
.text,FUNC,I2CDefaultFinishCallBack,10,0x00001E76,?,0x00001E76,?
.bss,OBJECT,s_dataTxTask,4,0x2000126C,?,-,-
.text,FUNC,peripheralRssiCB,18,0x0000214A,?,0x0000214A,?
.data,OBJECT,Peripheral_TaskID,1,0x2000118F,?,0x000165AB,?
.data,OBJECT,Peripheral_PeripheralCBs,12,0x200010D4,?,0x000164F0,?
.bss,OBJECT,Peripheral_BondMgrCBs,12,0x20001454,?,-,-
.bss,OBJECT,peripheralConnList,8,0x20001278,?,-,-
.text,FUNC,simpleProfileChangeCB,36,0x0000229C,?,0x0000229C,?
.text,FUNC,peripheralParamUpdateCB,48,0x000022C0,?,0x000022C0,?
.text,FUNC,Peripheral_LinkTerminated,80,0x000022F0,?,0x000022F0,?
.text,FUNC,peripheralStateNotificationCB,338,0x00002340,?,0x00002340,?
.data,OBJECT,scanRspData,28,0x200010F8,?,0x00016514,?
.data,OBJECT,advertData,7,0x20001188,?,0x000165A4,?
.data,OBJECT,attDeviceName,21,0x200010E0,?,0x000164FC,?
.data,OBJECT,Peripheral_SimpleProfileCBs,4,0x20001184,?,0x000165A0,?
.bss,OBJECT,Broadcaster_BroadcasterCBs,8,0x20001270,?,-,-
